"Brand","Model","Year","Age","KmDriven","Transmission","Owner","FuelType","PostedDate","IDR_Price"
Chevrolet,Beat,"2012",12,"82,098 km",Manual,second,Diesel,Nov-24,31515000
Honda,City,"2021",3,"60,180 km",Automatic,first,Petrol,Nov-24,223470000
BMW,"5 Series","2018",6,"37,000 km",Automatic,first,Diesel,Nov-24,916800000
Honda,Civic,"2019",5,"20,000 km",Automatic,second,Petrol,Nov-24,338643008
Hyundai,i10,"2010",14,"42,000 km",Manual,first,Petrol,Nov-24,32852000
Maruti Suzuki,Wagon-R,"2012",12,"65,000 km",Manual,first,Hybrid/CNG,Nov-24,54435000
Honda,Amaze,"2015",9,"82,000 km",Automatic,first,Petrol,Nov-24,74490000
Mahindra,XUV500,"2015",9,"75,000 km",Manual,first,Diesel,Nov-24,104095000
Renault,KWID,"2019",5,"90,000 km",Manual,second,Petrol,Nov-24,62075000
Maruti Suzuki,Celerio,"2018",6,"75,698 km",Manual,second,Petrol,Nov-24,82130000
Toyota,Innova,"2014",10,"324,900 km",Manual,first,Diesel,Nov-24,158529808
Land Rover,Discovery Sport,"2018",6,"93000.0 km",Automatic,second,Diesel,Nov-24,525249984
Toyota,Fortuner,"2017",7,"95,000 km",Automatic,second,Diesel,Oct-24,501375008
Maruti Suzuki,Swift,"2012",12,"75,211 km",Manual,second,Petrol,Nov-24,62075000
Maruti Suzuki,Wagon-R,"2012",12,"120,000 km",Automatic,second,Hybrid/CNG,Nov-24,29605000
Maruti Suzuki,Wagon-R,"2021",3,"60,000 km",Manual,second,Hybrid/CNG,Nov-24,108870000
Jeep,Compass,"2018",6,"68,000 km",Automatic,first,Petrol,Nov-24,200549808
Maruti Suzuki,Eeco,"2018",6,"82,000 km",Automatic,second,Hybrid/CNG,Nov-24,66850000
Jeep,Compass,"2018",6,"40,000 km",Automatic,second,Petrol,Nov-24,219650000
Hyundai,i20,"2018",6,"88,250 km",Manual,first,Diesel,Nov-24,157575008
Hyundai,i10,"2016",8,"74,156 km",Manual,second,Hybrid/CNG,Nov-24,56345000
Toyota,Etios Liva,"2011",13,"90,000 km",Manual,second,Hybrid/CNG,Nov-24,56345000
Volkswagen,Beetle,"2009",15,"38,000 km",Automatic,second,Petrol,Nov-24,534800000
Maruti Suzuki,Ignis,"2022",2,"38,000 km",Manual,first,Petrol,Nov-24,93590000
Hyundai,i20,"2023",1,"4,431 km",Manual,first,Petrol,Nov-24,208190000
Maruti Suzuki,Wagon-R-1-0,"2017",7,"85,000 km",Manual,second,Hybrid/CNG,Nov-24,64940000
Ford,Fiesta,"2006",18,"80,000 km",Manual,second,Hybrid/CNG,Nov-24,21010000
Hyundai,Creta,"2015",9,"74,000 km",Manual,second,Diesel,Nov-24,123959000
Toyota,Innova Crysta,"2021",3,"7500.0 km",Automatic,first,Diesel,Nov-24,632209984
Toyota,Innova,"2012",12,"65000.0 km",Manual,second,Diesel,Nov-24,129880000
Maruti Suzuki,Swift-Dzire,"2015",9,"1,000 km",Automatic,first,Hybrid/CNG,Nov-24,28650000
Isuzu,D-Max V-Cross,"2020",4,"66658.0 km",Manual,first,Diesel,Nov-24,323744992
Maruti Suzuki,Wagon R,"2009",15,"72,000 km",Manual,second,Petrol,Nov-24,24829808
Toyota,Corolla Altis,"2011",13,"75,000 km",Automatic,first,Hybrid/CNG,Nov-24,47750000
Mahindra,KUV 100,"2016",8,"70,000 km",Manual,first,Petrol,Nov-24,51379000
Maruti Suzuki,maruti-suzuki-dzire,"2020",4,"33,759 km",Manual,second,Petrol,Nov-24,118802000
Hyundai,i10,"2010",14,"86,000 km",Automatic,second,Hybrid/CNG,Nov-24,34380000
Maruti Suzuki,Swift,"2022",2,"23,000 km",Manual,first,Petrol,Nov-24,133318000
Nissan,Kicks,"2019",5,"54000.0 km",Manual,first,Petrol,Nov-24,123195000
Toyota,Camry,"2015",9,"68,000 km",Automatic,second,Petrol,Nov-24,226335008
Toyota,Corolla Altis,"2014",10,"68,000 km",Automatic,first,Hybrid/CNG,Nov-24,111735000
Honda,Jazz,"2019",5,"6585.0 km",Manual,first,Petrol,Nov-24,57300000
Hyundai,Aura,"2024",0,"3,500 km",Manual,first,Hybrid/CNG,Nov-24,133700000
Hyundai,Creta,"2020",4,"120,488 km",Manual,first,Petrol,Nov-24,165215008
Renault,KWID,"2018",6,"53,000 km",Automatic,second,Hybrid/CNG,Nov-24,71625000
Skoda,Rapid,"2015",9,"72,000 km",Automatic,second,Diesel,Nov-24,90534000
Maruti Suzuki,Alto-800,"2010",14,"87,000 km",Manual,second,Hybrid/CNG,Nov-24,18145000
Hyundai,Elantra,"2012",12,"71,000 km",Automatic,second,Petrol,Nov-24,84995000
Maruti Suzuki,Swift-Dzire,"2012",12,"156,300 km",Manual,second,Petrol,Oct-24,57300000
Mercedes-Benz,C-Class,"2021",3,"6,000 km",Automatic,first,Diesel,Nov-24,888150016
Hyundai,Venue,"2020",4,"18,000 km",Automatic,first,Petrol,Nov-24,181450000
Maruti Suzuki,Sx4,"2011",13,"90,000 km",Automatic,second,Hybrid/CNG,Nov-24,45840000
Honda,City,"2015",9,"61,000 km",Automatic,first,Hybrid/CNG,Nov-24,101230000
Mercedes-Benz,AMG C 43,"2016",8,"35,000 km",Automatic,second,Petrol,Nov-24,926350016
Maruti Suzuki,Alto-800,"2011",13,"95,000 km",Automatic,second,Hybrid/CNG,Nov-24,25785000
Maruti Suzuki,Swift,"2013",11,"150,000 km",Manual,second,Petrol,Nov-24,61120000
Kia,Seltos,"2020",4,"50,000 km",Automatic,first,Diesel,Nov-24,257850000
BMW,X6,"2015",9,"49,000 km",Automatic,second,Petrol,Nov-24,1298800000
Maruti Suzuki,Wagon-R,"2021",3,"65,000 km",Manual,first,Hybrid/CNG,Nov-24,85950000
Audi,A4,"2022",2,"28,000 km",Automatic,first,Petrol,Nov-24,802200000
Bentley,Flying Spur,"2017",7,"22,000 km",Automatic,first,Petrol,Nov-24,3533499904
Maruti Suzuki,Eeco,"2020",4,"75,000 km",Manual,second,Hybrid/CNG,Nov-24,78501000
Maruti Suzuki,Wagon-R-1-0,"2017",7,"63,000 km",Manual,first,Hybrid/CNG,Nov-24,65895000
Volkswagen,Taigun,"2021",3,"19,000 km",Automatic,second,Petrol,Nov-24,225380000
Maruti Suzuki,Ertiga,"2019",5,"62,000 km",Automatic,second,Hybrid/CNG,Nov-24,156620000
Toyota,Corolla Altis,"2013",11,"28,001 km",Manual,first,Diesel,Nov-24,109825000
Maruti Suzuki,Celerio,"2014",10,"77,000 km",Automatic,first,Petrol,Nov-24,49660000
Mahindra,Jeep,"1994",30,"0 km",Manual,second,Diesel,Nov-24,56345000
Audi,Q3,"2014",10,"84,000 km",Automatic,second,Diesel,Nov-24,162350000
Maruti Suzuki,Celerio,"2018",6,"70,000 km",Manual,second,Hybrid/CNG,Oct-24,75445000
Honda,City,"2019",5,"32,500 km",Manual,second,Hybrid/CNG,Nov-24,138475008
Toyota,Innova Crysta,"2018",6,"162,000 km",Automatic,second,Diesel,Nov-24,358124992
Maruti Suzuki,Wagon-R-1-0,"2012",12,"67,000 km",Manual,second,Hybrid/CNG,Nov-24,45840000
Chevrolet,Tavera,"2015",9,"120,000 km",Manual,second,Diesel,Nov-24,106960000
Mahindra,Alturas G4,"2019",5,"60,000 km",Automatic,first,Diesel,Nov-24,362900000
Honda,Brio,"2016",8,"64,000 km",Manual,second,Hybrid/CNG,Nov-24,54435000
Maruti Suzuki,Eeco,"2015",9,"64,000 km",Manual,first,Hybrid/CNG,Aug-24,83085000
Honda,Amaze,"2021",3,"78,000 km",Automatic,second,Diesel,Nov-24,205324992
Hyundai,Santro Xing,"2009",15,"128,000 km",Automatic,first,Hybrid/CNG,Oct-24,11460000
Maruti Suzuki,Wagon-R,"2020",4,"6,000 km",Manual,first,Petrol,Nov-24,105050000
Maruti Suzuki,Baleno,"2017",7,"58,000 km",Manual,first,Diesel,Nov-24,124341000
Hyundai,Creta,"2021",3,"63,000 km",Automatic,first,Diesel,Oct-24,296049984
Maruti Suzuki,"800","2006",18,"26,500 km",Manual,second,Petrol,Oct-24,23875000
Maruti Suzuki,Omni,"2013",11,"72,000 km",Manual,second,Hybrid/CNG,Nov-24,44885000
Renault,Duster,"2014",10,"128,000 km",Manual,second,Diesel,Nov-24,72198000
Toyota,Innova,"2015",9,"145,500 km",Manual,first,Diesel,Nov-24,236840000
Hyundai,Grand i10,"2016",8,"62,000 km",Automatic,second,Hybrid/CNG,Nov-24,84040000
Volvo,XC 90,"2019",5,"40,000 km",Automatic,first,Diesel,Nov-24,1317900032
Tata,Tiago,"2018",6,"56,000 km",Manual,first,Petrol,Nov-24,49660000
Mahindra,TUV,"2016",8,"78,000 km",Automatic,second,Diesel,Nov-24,111735000
Mercedes-Benz,C Class,"2011",13,"96,500 km",Automatic,second,Diesel,Nov-24,110780000
Renault,Duster,"2013",11,"87,000 km",Manual,second,Diesel,Nov-24,83085000
Maruti Suzuki,Baleno,"2015",9,"87,000 km",Manual,second,Diesel,Nov-24,105050000
Maruti Suzuki,Celerio,"2014",10,"51,000 km",Manual,second,Petrol,Nov-24,70670000
Hyundai,Creta,"2018",6,"120,000 km",Manual,first,Hybrid/CNG,Nov-24,138666000
Hyundai,i10,"2013",11,"64,000 km",Automatic,second,Petrol,Nov-24,62839000
BMW,"3 Series","2010",14,"150,000 km",Automatic,second,Diesel,Aug-24,124150000
Maruti Suzuki,Alto-K10,"2008",16,"82,000 km",Automatic,second,Petrol,Nov-24,34380000
Tata,Nexon,"2021",3,"67,000 km",Manual,first,Diesel,Nov-24,169990000
Hyundai,Creta,"2022",2,"27,000 km",Automatic,second,Petrol,Nov-24,272175008
Maruti Suzuki,Omni,"2018",6,"50,000 km",Automatic,first,Hybrid/CNG,Nov-24,47750000
Renault,KWID,"2017",7,"71,000 km",Manual,first,Petrol,Oct-24,46795000
Maruti Suzuki,Swift,"2015",9,"40,000 km",Automatic,second,Hybrid/CNG,Nov-24,66850000
Toyota,Etios,"2014",10,"95,000 km",Manual,first,Diesel,Nov-24,132745000
Maruti Suzuki,Wagon-R,"2015",9,"85,000 km",Manual,first,Petrol,Nov-24,85950000
Hyundai,i10,"2013",11,"102,091 km",Automatic,second,Hybrid/CNG,Nov-24,57300000
Hyundai,Verna,"2014",10,"76,000 km",Automatic,second,Diesel,Nov-24,88815000
Tata,Tiago,"2022",2,"19300.0 km",Manual,first,Hybrid/CNG,Nov-24,130644000
Maruti Suzuki,Wagon-R-1-0,"2010",14,"63,000 km",Manual,first,Petrol,Nov-24,40110000
Hyundai,Verna,"2014",10,"71,900 km",Automatic,second,Hybrid/CNG,Nov-24,85950000
Maruti Suzuki,Vitara-Brezza,"2019",5,"89,500 km",Automatic,second,Diesel,Nov-24,127836304
Toyota,Corolla Altis,"2015",9,"98,000 km",Manual,first,Petrol,Nov-24,95287608
Honda,City,"2009",15,"68,000 km",Automatic,first,Hybrid/CNG,Nov-24,60165000
Maruti Suzuki,SX4,"2010",14,"21000.0 km",Manual,second,Hybrid/CNG,Nov-24,38009000
Mahindra,Bolero Power Plus,"2017",7,"129,000 km",Manual,first,Diesel,Nov-24,138475008
Chevrolet,Cruze,"2011",13,"53,000 km",Automatic,second,Diesel,Nov-24,56345000
Maruti Suzuki,Zen-Estilo,"2011",13,"45,000 km",Manual,second,Hybrid/CNG,Nov-24,22920000
MG,Hector,"2020",4,"90,000 km",Manual,first,Diesel,Nov-24,262624992
Skoda,Fabia,"2010",14,"45,000 km",Manual,second,Petrol,Nov-24,31515000
Nissan,Micra,"2020",4,"16,330 km",Automatic,first,Petrol,Nov-24,109825000
Hyundai,Eon,"2015",9,"81,000 km",Manual,second,Petrol,Nov-24,40110000
Volkswagen,Polo,"2015",9,"50,000 km",Manual,second,Diesel,Nov-24,124150000
Kia,Carnival,"2021",3,"25,000 km",Automatic,second,Diesel,Nov-24,457444992
Honda,City,"2013",11,"85,000 km",Automatic,second,Petrol,Nov-24,76400000
Mercedes-Benz,S-Class,"2013",11,"85,000 km",Automatic,second,Diesel,Nov-24,219650000
Tata,Indica V2,"2009",15,"31,000 km",Automatic,second,Diesel,Nov-24,20055000
Mahindra,XUV500,"2014",10,"180,000 km",Manual,first,Diesel,Nov-24,162350000
Maruti Suzuki,Swift,"2007",17,"135,767 km",Manual,first,Petrol,Nov-24,28650000
Maruti Suzuki,Ertiga,"2022",2,"38,000 km",Manual,first,Hybrid/CNG,Oct-24,210100000
Mercedes-Benz,GL-Class,"2013",11,"100,000 km",Automatic,second,Diesel,Nov-24,458400000
Mercedes-Benz,GLS,"2023",1,"25,000 km",Automatic,first,Diesel,Nov-24,2387500032
Maruti Suzuki,Vitara-Brezza,"2018",6,"78,000 km",Manual,first,Diesel,Nov-24,143250000
Chevrolet,Spark,"2011",13,"90,450 km",Automatic,second,Hybrid/CNG,Nov-24,16235000
Ford,Figo Aspire,"2017",7,"56,500 km",Manual,second,Diesel,Nov-24,93208000
Maruti Suzuki,Eeco,"2015",9,"182,000 km",Automatic,first,Hybrid/CNG,Nov-24,63030000
Mahindra,KUV 100,"2017",7,"66,000 km",Automatic,second,Hybrid/CNG,Nov-24,51570000
Maruti Suzuki,Eeco,"2020",4,"93,000 km",Manual,first,Hybrid/CNG,Nov-24,109825000
Toyota,Innova Crysta,"2019",5,"53,000 km",Manual,first,Diesel,Nov-24,315150016
Maruti Suzuki,Eeco,"2018",6,"59,000 km",Manual,first,Hybrid/CNG,Nov-24,74490000
Renault,KWID,"2015",9,"53,000 km",Manual,second,Hybrid/CNG,Nov-24,40110000
Hyundai,i10,"2013",11,"53,416 km",Manual,second,Petrol,Nov-24,54435000
Toyota,Urban Cruiser Hyryder,"2024",0,"1,900 km",Automatic,first,Hybrid/CNG,Nov-24,405875008
Honda,City,"2009",15,"77,000 km",Automatic,second,Hybrid/CNG,Nov-24,55390000
Hyundai,Grand i10,"2017",7,"49,000 km",Manual,first,Hybrid/CNG,Nov-24,74681000
Toyota,Camry,"2015",9,"53,350 km",Automatic,second,Petrol,Nov-24,227290000
Skoda,Superb,"2014",10,"96,000 km",Automatic,first,Diesel,Nov-24,162350000
Volvo,XC40,"2018",6,"226,350 km",Automatic,first,Diesel,Oct-24,472724992
Chevrolet,Beat,"2013",11,"21,000 km",Manual,first,Petrol,Nov-24,37245000
Honda,BRV,"2018",6,"82,502 km",Manual,first,Petrol,Nov-24,133700000
Mahindra,KUV 100,"2018",6,"67,000 km",Manual,first,Hybrid/CNG,Nov-24,74277608
Ford,Ecosport,"2017",7,"105,000 km",Manual,second,Diesel,Nov-24,123959000
Maruti Suzuki,Alto-800,"2011",13,"40,000 km",Manual,second,Petrol,Nov-24,40301000
Hyundai,Eon,"2015",9,"58,122 km",Manual,second,Petrol,Nov-24,53480000
Skoda,Octavia,"2022",2,"23,000 km",Automatic,second,Petrol,Oct-24,437390016
Honda,City,"2016",8,"71000.0 km",Automatic,first,Petrol,Nov-24,128925000
Maruti Suzuki,Wagon-R,"2018",6,"51,000 km",Manual,second,Hybrid/CNG,Nov-24,75445000
Maruti Suzuki,Swift Dzire,"2017",7,"69000.0 km",Manual,first,Diesel,Nov-24,130835000
Jeep,Compass,"2018",6,"46,300 km",Manual,second,Diesel,Nov-24,189090000
Hyundai,Verna,"2014",10,"82,000 km",Automatic,second,Petrol,Nov-24,74490000
Maruti Suzuki,Swift-Dzire,"2017",7,"38,000 km",Manual,first,Petrol,Nov-24,101230000
Honda,City ZX,"2008",16,"119,000 km",Automatic,second,Hybrid/CNG,Nov-24,27847800
Mercedes-Benz,GLE,"2017",7,"57,000 km",Automatic,second,Diesel,Nov-24,582550016
Mahindra,Alturas G4,"2020",4,"50,000 km",Automatic,second,Diesel,Nov-24,297960000
Mahindra,XUV500,"2017",7,"118,000 km",Automatic,second,Diesel,Nov-24,133509000
Kia,Sonet,"2022",2,"23,000 km",Automatic,first,Petrol,Nov-24,219650000
Volkswagen,Polo,"2016",8,"75,000 km",Automatic,second,Petrol,Nov-24,101230000
Volkswagen,Polo,"2013",11,"113,000 km",Manual,first,Diesel,Nov-24,57109000
Maruti Suzuki,Ciaz,"2014",10,"63,079 km",Manual,first,Petrol,Nov-24,49851000
Honda,City,"2019",5,"43,000 km",Manual,second,Hybrid/CNG,Nov-24,143250000
BMW,X3,"2012",12,"75000.0 km",Automatic,second,Diesel,Nov-24,377224992
Hyundai,Santro,"2003",21,"65,804 km",Manual,second,Hybrid/CNG,Nov-24,9550000.0
Hyundai,Accent,"2010",14,"77,000 km",Manual,second,Hybrid/CNG,Nov-24,27695000
Audi,A6,"2019",5,"60,000 km",Automatic,second,Diesel,Nov-24,448849984
Honda,City,"2017",7,"69,000 km",Manual,second,Petrol,Oct-24,116510000
Toyota,Innova,"2013",11,"132,000 km",Manual,second,Diesel,Nov-24,132553808
Maruti Suzuki,Alto,"2011",13,"81000.0 km",Manual,second,Hybrid/CNG,Nov-24,31515000
Hyundai,Santro,"2006",18,"50,000 km",Manual,second,Petrol,Nov-24,14325000
Volkswagen,Polo,"2016",8,"144 km",Manual,second,Diesel,Nov-24,107915000
Tata,Nexon,"2019",5,"55,000 km",Manual,second,Hybrid/CNG,Nov-24,91680000
Maruti Suzuki,Wagon-R-1-0,"2021",3,"90,000 km",Manual,first,Hybrid/CNG,Oct-24,107915000
Maruti Suzuki,Ciaz,"2017",7,"79000.0 km",Automatic,second,Petrol,Nov-24,114600000
Mercedes-Benz,GLE,"2019",5,"30000.0 km",Automatic,first,Diesel,Nov-24,935900032
Chevrolet,Cruze,"2012",12,"950,000 km",Automatic,second,Diesel,Nov-24,66850000
Honda,Amaze,"2017",7,"55,000 km",Manual,first,Petrol,Nov-24,75445000
Toyota,Innova Crysta,"2017",7,"68,000 km",Automatic,second,Diesel,Nov-24,240660000
Skoda,Fabia,"2012",12,"80,000 km",Manual,first,Diesel,Nov-24,62075000
BMW,"3 Series","2012",12,"35,000 km",Automatic,second,Diesel,Nov-24,238750000
Mahindra,Scorpio,"2015",9,"81,000 km",Manual,first,Diesel,Nov-24,124150000
Audi,A4,"2015",9,"72,000 km",Automatic,second,Diesel,Nov-24,233211008
Hyundai,i20,"2016",8,"55,000 km",Manual,first,Hybrid/CNG,Nov-24,85950000
Volkswagen,Tiguan,"2018",6,"52,000 km",Automatic,first,Diesel,Nov-24,365764992
Maruti Suzuki,Alto,"2009",15,"85,000 km",Manual,second,Hybrid/CNG,Nov-24,11460000
Hyundai,Verna,"2017",7,"130,000 km",Automatic,second,Diesel,Nov-24,152608992
Maruti Suzuki,Alto-K10,"2011",13,"95,500 km",Manual,second,Petrol,Nov-24,36290000
Renault,Triber,"2020",4,"27,500 km",Manual,first,Petrol,Nov-24,99320000
Maruti Suzuki,Ertiga,"2019",5,"54,000 km",Manual,first,Hybrid/CNG,Oct-24,185460992
Honda,Accord,"2013",11,"67,100 km",Automatic,second,Petrol,Nov-24,97601000
Hyundai,Creta,"2018",6,"54,000 km",Automatic,second,Diesel,Nov-24,171708992
Honda,City,"2014",10,"116,000 km",Manual,second,Diesel,Nov-24,124150000
Maruti Suzuki,Celerio-X,"2020",4,"142,000 km",Automatic,second,Hybrid/CNG,Nov-24,61120000
Renault,Lodgy,"2016",8,"150,000 km",Manual,second,Diesel,Nov-24,85950000
Maruti Suzuki,Vitara-Brezza,"2016",8,"88,000 km",Manual,second,Diesel,Nov-24,127015000
Tata,Harrier,"2022",2,"33,000 km",Manual,first,Diesel,Aug-24,276950016
BMW,"7 Series","2010",14,"86,000 km",Automatic,second,Diesel,Nov-24,195775008
Maruti Suzuki,Wagon-R,"2022",2,"30,500 km",Manual,first,Hybrid/CNG,Nov-24,110780000
Hyundai,Santro Xing,"2012",12,"65,165 km",Manual,second,Hybrid/CNG,Nov-24,29605000
Maruti Suzuki,Ertiga,"2014",10,"97,694 km",Manual,second,Hybrid/CNG,Nov-24,127015000
Toyota,Land Cruiser,"1999",25,"30,000 km",Automatic,first,Petrol,Nov-24,401100000
Hyundai,Aura,"2021",3,"40,000 km",Manual,first,Petrol,Nov-24,133700000
Hyundai,i20,"2014",10,"80,000 km",Automatic,second,Petrol,Nov-24,67805000
MG,Hector,"2019",5,"46,000 km",Automatic,first,Hybrid/CNG,Nov-24,238750000
Honda,City ZX,"2008",16,"119000.0 km",Automatic,second,Hybrid/CNG,Nov-24,27695000
Tata,Zest,"2014",10,"85,000 km",Automatic,second,Petrol,Nov-24,47750000
Honda,City,"2019",5,"49,500 km",Manual,first,Diesel,Nov-24,171708992
Maruti Suzuki,Fronx ,"2024",0,"8,254 km",Manual,first,Petrol,Nov-24,157575008
BMW,"3 Series","2012",12,"135,000 km",Automatic,first,Diesel,Nov-24,143250000
Ssangyong,Rexton,"2013",11,"120,000 km",Automatic,second,Diesel,Nov-24,45840000
Hyundai,Grand i10,"2018",6,"53,300 km",Automatic,second,Hybrid/CNG,Nov-24,100296200
Mahindra,Scorpio Classic,"2016",8,"55,000 km",Manual,second,Diesel,Nov-24,137520000
Honda,Jazz,"2010",14,"65,000 km",Automatic,first,Hybrid/CNG,Nov-24,34380000
Hyundai,Eon,"2016",8,"56,000 km",Manual,second,Petrol,Nov-24,45840000
Mahindra,Rexton,"2013",11,"105,000 km",Automatic,second,Diesel,Nov-24,88051000
Maruti Suzuki,Wagon-R,"2012",12,"134,000 km",Manual,first,Petrol,Nov-24,61120000
Audi,A4,"2013",11,"102,000 km",Automatic,second,Diesel,Nov-24,194820000
Toyota,Camry,"2024",0,"6,500 km",Automatic,first,Hybrid/CNG,Nov-24,773550016
Maruti Suzuki,Swift-Dzire,"2018",6,"90,000 km",Manual,second,Hybrid/CNG,Nov-24,118611000
Maruti Suzuki,Wagon-R-1-0,"2017",7,"42,000 km",Automatic,first,Hybrid/CNG,Nov-24,73535000
Hyundai,i10,"2016",8,"44,103 km",Automatic,second,Petrol,Nov-24,88815000
Maruti Suzuki,Eeco,"2011",13,"69,000 km",Manual,first,Petrol,Nov-24,46795000
Hyundai,Xcent,"2016",8,"123,913 km",Manual,second,Hybrid/CNG,Nov-24,63666604
Volkswagen,VentoTest,"2017",7,"62,000 km",Automatic,second,Petrol,Nov-24,93590000
Mercedes-Benz,AMG GLE Coupe,"2021",3,"28000.0 km",Automatic,second,Petrol,Nov-24,2196499968
Maruti Suzuki,Swift-Dzire,"2009",15,"58,000 km",Automatic,second,Hybrid/CNG,Nov-24,38200000
Maruti Suzuki,Wagon-R,"2014",10,"35,188 km",Manual,first,Hybrid/CNG,Nov-24,69715000
Audi,A6,"2016",8,"52,000 km",Automatic,second,Diesel,Nov-24,315150016
Honda,Jazz,"2021",3,"34,000 km",Automatic,first,Petrol,Nov-24,150890000
Hyundai,New i20,"2022",2,"12,214 km",Automatic,first,Petrol,Nov-24,182023008
Maruti Suzuki,Wagon-R,"2010",14,"36,836 km",Automatic,first,Petrol,Nov-24,45840000
Honda,City,"2017",7,"54,000 km",Automatic,second,Petrol,Nov-24,136564992
Maruti Suzuki,Grand Vitara,"2023",1,"9,000 km",Manual,first,Petrol,Nov-24,276950016
Maruti Suzuki,Swift,"2014",10,"89,000 km",Manual,second,Diesel,Nov-24,97410000
Honda,City,"2015",9,"77,000 km",Automatic,second,Petrol,Nov-24,113645000
Mahindra,Xylo,"2015",9,"267,000 km",Manual,second,Diesel,Nov-24,59210000
Maruti Suzuki,Wagon-R,"2019",5,"42,000 km",Automatic,first,Hybrid/CNG,Oct-24,79265000
Maruti Suzuki,S-Presso,"2020",4,"28,000 km",Manual,first,Petrol,Nov-24,84995000
Maruti Suzuki,Swift,"2014",10,"85,000 km",Manual,first,Diesel,Nov-24,69715000
Mitsubishi,Outlander,"2011",13,"130,000 km",Automatic,second,Petrol,Nov-24,47750000
Tata,Curvv,"2019",5,"22,000 km",Automatic,second,Petrol,Nov-24,1375200000
Hyundai,i10,"2014",10,"80,000 km",Automatic,second,Petrol,Nov-24,66850000
Maruti Suzuki,Swift-Dzire,"2017",7,"75,000 km",Manual,second,Petrol,Nov-24,85950000
Toyota,Corolla Altis,"2013",11,"76,000 km",Automatic,first,Hybrid/CNG,Oct-24,85950000
Toyota,Estima,"2012",12,"45,000 km",Automatic,first,Petrol,Nov-24,439300000
Renault,KWID,"2017",7,"39,000 km",Automatic,first,Petrol,Nov-24,51570000
Mahindra,XUV500,"2014",10,"110,000 km",Manual,first,Diesel,Nov-24,167124992
Hyundai,i10,"2009",15,"66,000 km",Automatic,second,Petrol,Nov-24,52525000
Maruti Suzuki,Celerio,"2017",7,"59,968 km",Manual,first,Petrol,Nov-24,73535000
Audi,Q7,"2020",4,"44000.0 km",Automatic,first,Diesel,Sep-24,1370424832
Maruti Suzuki,Eeco,"2018",6,"51,000 km",Automatic,first,Hybrid/CNG,Nov-24,69715000
Hyundai,i20,"2019",5,"47000.0 km",Manual,first,Hybrid/CNG,Nov-24,109825000
Toyota,Innova Crysta,"2021",3,"24,000 km",Automatic,first,Diesel,Nov-24,601649984
Maruti Suzuki,"1000","2023",1,"20,000 km",Automatic,first,Hybrid/CNG,Nov-24,76400000
Honda,City,"2017",7,"71,000 km",Automatic,first,Hybrid/CNG,Nov-24,138475008
Opel,Corsa,"2004",20,"70,000 km",Manual,second,Petrol,Nov-24,12988000
Hyundai,i10,"2008",16,"105,000 km",Manual,second,Petrol,Nov-24,47559000
Skoda,Superb,"2014",10,"50000.0 km",Automatic,second,Petrol,Nov-24,191000000
Volkswagen,Virtus,"2022",2,"40,000 km",Manual,second,Petrol,Nov-24,229180896
Ford,Ikon,"2009",15,"95,000 km",Manual,second,Diesel,Nov-24,28650000
Mercedes-Benz,C-Class,"2014",10,"64,000 km",Automatic,second,Diesel,Nov-24,281534016
Toyota,Innova Crysta,"2018",6,"85000.0 km",Automatic,first,Diesel,Nov-24,322790016
Maruti Suzuki,Ciaz,"2016",8,"58,000 km",Manual,first,Hybrid/CNG,Nov-24,109825000
Hyundai,Verna,"2023",1,"24,600 km",Automatic,first,Petrol,Nov-24,305408992
Hyundai,i20,"2012",12,"95000.0 km",Manual,second,Petrol,Aug-24,67041000
Maruti Suzuki,Ignis,"2020",4,"28,000 km",Automatic,second,Petrol,Nov-24,124149808
MG,Gloster,"2022",2,"52,000 km",Automatic,second,Diesel,Nov-24,725800000
Skoda,Slavia,"2022",2,"20,000 km",Automatic,first,Petrol,Nov-24,210100000
Hyundai,Verna,"2018",6,"52,536 km",Automatic,second,Hybrid/CNG,Nov-24,148980000
Honda,BRV,"2016",8,"38,000 km",Automatic,second,Petrol,Nov-24,143250000
Honda,Amaze,"2019",5,"52,400 km",Manual,second,Petrol,Nov-24,103140000
Toyota,Innova Crysta,"2020",4,"22,000 km",Manual,second,Diesel,Nov-24,439300000
BMW,"3 Series","2013",11,"58,000 km",Automatic,second,Diesel,Nov-24,458208992
Volkswagen,VentoTest,"2012",12,"100,000 km",Manual,second,Diesel,Nov-24,71625000
Hyundai,Elite i20,"2017",7,"26,000 km",Manual,first,Petrol,Nov-24,111735000
Maruti Suzuki,Ertiga,"2020",4,"185,000 km",Manual,first,Hybrid/CNG,Nov-24,137520000
Lexus,NX,"2018",6,"71,767 km",Automatic,first,Hybrid/CNG,Sep-24,625524992
Hyundai,Santro Xing,"2013",11,"80,000 km",Manual,second,Hybrid/CNG,Nov-24,38199808
Volkswagen,Polo,"2018",6,"82,886 km",Automatic,first,Diesel,Nov-24,149935008
Maruti Suzuki,Baleno,"2017",7,"90,000 km",Manual,first,Diesel,Nov-24,124150000
Tata,Tiago,"2024",0,"3,500 km",Automatic,first,Hybrid/CNG,Nov-24,156620000
Maruti Suzuki,Ertiga,"2012",12,"98580.0 km",Manual,first,Diesel,Nov-24,49660000
Honda,Amaze,"2018",6,"52,000 km",Automatic,second,Hybrid/CNG,Sep-24,112690000
